Gene	CEU	CEU	YRI	YRI	CHB	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	CEU	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	CHB	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI	YRI
AMY1A	9.952	12.546	9.985	10.337	8.479	7.449	8.114	9.711	8.075	9.092	6.211	6.270	9.242	10.480	6.706	7.097	14.573	6.928	7.032	9.053	7.814	10.258	8.688	14.436	5.990	10.135	7.886	7.580	10.871	16.078	17.258	7.508	6.530	11.490	7.260	11.477	12.227	6.654	4.080	6.100	11.399	6.270	7.417	9.320	11.529	9.867	11.158	11.412	7.091	8.407	5.866	14.241	8.896	8.218	7.775	5.044	8.323	8.799	12.774	10.089	7.678	8.466	10.174	10.161	7.026	7.436	9.418	9.750	7.521	5.709	9.652	8.179	13.120	12.018	8.166	9.072	14.899	14.443	7.554	10.760	5.338	7.997	7.932	15.844	10.487	12.983	8.844	18.555	14.449	11.875	7.586	10.304	5.651	12.852	9.783	11.392	17.030	15.036	6.407	14.736	10.500	13.465	6.348	10.943	12.175	13.048	7.554	16.502	7.449	10.571	9.502	9.307	12.142	11.999	17.486	5.188	7.691	7.990	10.187	9.796	9.098	7.951	8.988	7.671	7.195	7.638	7.313	7.612	10.291	10.076	4.562	9.385	11.008	8.551	14.710	9.744	8.596	8.056	9.691	4.680	11.503	8.909	13.146	7.749	5.370	7.762	10.148	9.620	8.082	7.404	8.551	7.515	6.817	10.291	7.625	5.794	10.030	9.509	7.697	8.583	7.449	7.691	12.390	7.925	9.450
ANKRD20A3	28.732	29.257	28.020	30.272	28.938	29.945	28.229	28.640	28.284	30.863	25.994	27.026	29.814	31.282	28.221	28.078	28.082	31.534	29.374	32.687	29.492	32.075	29.856	30.951	29.735	30.586	27.114	28.288	31.777	29.311	30.116	28.355	28.883	27.499	29.005	28.670	27.961	26.241	28.011	28.544	31.668	28.758	28.137	29.743	30.037	29.366	29.643	30.884	28.812	30.188	30.192	29.244	30.238	32.931	26.329	26.023	27.625	25.168	27.931	27.806	27.055	32.377	30.192	30.360	27.751	28.032	27.671	26.023	26.862	27.139	27.743	30.297	32.608	28.783	26.019	35.309	31.266	30.301	31.698	30.863	29.051	27.713	28.636	32.633	31.287	32.012	29.164	29.349	27.722	30.582	27.655	30.674	30.708	28.791	28.938	28.904	29.806	29.756	29.689	27.609	30.020	28.485	31.014	28.917	33.404	29.194	31.438	28.519	28.728	29.076	30.586	30.318	30.226	30.033	28.967	25.142	27.298	26.589	26.828	27.248	24.912	26.292	26.883	25.302	25.734	27.449	24.312	26.011	25.067	26.988	25.595	26.669	25.050	27.248	23.884	24.887	23.314	27.604	25.537	27.185	26.065	24.752	28.397	26.296	25.365	26.627	28.137	21.297	28.007	26.677	28.477	26.707	22.987	30.859	25.763	27.927	27.877	25.692	24.660	26.241	22.475	28.628	25.088	26.648	24.308
ANXA8L1	4.384	4.051	4.504	4.398	4.388	3.969	3.694	4.292	4.630	3.954	5.305	6.298	7.166	4.417	4.408	3.188	4.244	4.731	4.495	4.745	3.043	5.753	4.441	4.263	5.213	4.041	4.432	3.950	4.234	4.138	4.239	4.075	7.094	5.657	4.649	4.523	4.244	4.220	6.009	5.647	4.707	4.413	4.919	4.152	5.430	4.649	4.326	3.776	4.774	3.916	4.567	4.012	4.847	5.985	4.128	7.586	4.200	4.596	4.712	4.157	4.355	4.649	4.335	4.239	4.398	4.514	4.581	4.167	4.268	4.041	4.639	4.519	4.437	4.658	4.596	4.417	4.572	4.634	4.432	5.309	4.224	4.133	4.451	4.654	4.765	3.588	4.393	4.388	4.480	4.234	4.803	4.104	4.740	4.287	4.302	4.490	4.379	4.924	4.668	4.827	5.811	5.242	4.557	4.094	4.548	4.533	4.398	4.273	4.297	4.427	4.470	4.109	4.147	4.813	4.080	4.196	3.940	4.586	5.011	4.644	4.388	3.463	4.335	4.340	4.495	4.191	4.630	4.239	5.758	4.311	4.576	4.634	4.432	4.210	4.176	4.509	4.543	4.495	4.244	4.591	4.167	5.719	5.141	4.456	5.377	6.462	4.277	4.533	4.268	4.451	4.316	4.316	4.509	5.377	4.408	3.202	4.461	4.359	4.408	4.470	4.268	4.702	4.808	4.335	5.309
ARL17B	6.289	5.619	4.858	3.343	6.069	8.699	7.997	7.692	3.391	5.999	7.483	5.073	6.717	8.560	6.278	3.203	6.267	9.246	6.273	9.240	5.539	7.167	4.355	5.871	6.037	7.612	4.269	5.876	6.412	9.010	7.971	7.853	7.558	4.259	6.717	5.807	6.760	3.128	7.242	7.226	6.364	6.562	4.098	5.175	6.321	6.658	6.208	7.248	4.296	5.207	3.235	5.962	6.626	7.408	5.742	4.955	6.423	8.962	4.783	4.280	3.118	6.524	7.912	4.264	3.369	2.769	3.016	3.959	3.241	5.860	6.546	4.987	7.767	4.880	10.317	7.628	7.885	8.313	4.800	3.016	6.444	5.544	5.560	3.289	7.264	8.951	7.622	7.778	7.810	6.471	9.685	4.708	3.241	7.639	8.737	4.473	9.015	7.269	6.674	6.776	6.712	7.124	10.713	5.030	3.407	6.578	4.783	3.043	10.183	5.941	9.213	3.075	5.073	7.242	3.289	4.296	5.828	4.478	4.216	3.016	5.989	4.248	5.796	4.510	4.773	4.066	6.417	4.280	4.703	4.655	6.615	7.837	5.946	4.596	7.092	6.182	5.641	4.542	4.467	3.589	4.376	4.435	6.203	4.869	3.064	6.985	4.719	7.794	5.849	4.516	6.230	5.705	4.585	4.076	5.630	4.419	4.858	4.671	6.455	5.008	3.128	3.594	4.505	6.096	4.398
BOLA2B	6.968	6.907	8.598	6.183	6.036	6.882	6.421	6.411	7.084	6.309	5.069	7.398	6.456	6.659	5.945	7.550	7.970	6.932	6.826	7.884	6.006	7.803	8.522	5.545	5.560	4.841	5.722	6.821	8.102	7.499	7.337	6.239	4.800	7.145	7.049	7.069	5.474	5.899	8.269	7.287	6.730	7.358	6.750	5.464	6.274	6.639	8.543	7.044	7.246	4.537	6.330	6.466	6.426	5.894	7.266	7.079	7.094	7.358	7.454	6.917	6.213	6.016	4.998	8.284	6.031	7.560	6.512	5.687	8.300	6.213	5.778	7.408	6.401	6.239	6.497	5.757	5.864	7.621	6.856	5.089	6.649	5.808	6.517	6.851	4.588	7.434	5.611	5.839	6.046	6.147	6.426	7.297	6.077	6.446	7.034	5.595	8.310	7.591	7.515	6.760	7.580	7.884	7.297	7.034	7.211	5.793	5.069	5.757	7.044	6.158	5.722	6.826	5.854	5.241	7.292	7.216	8.198	7.363	6.978	5.676	8.274	7.180	9.257	7.575	6.082	6.588	5.818	7.216	6.937	6.239	6.046	7.444	7.074	7.413	7.110	8.370	7.135	7.570	6.233	7.327	8.998	6.269	8.922	7.297	7.970	8.416	7.768	8.755	7.054	6.092	7.682	6.846	7.196	9.024	5.788	8.335	8.148	7.459	6.244	5.069	7.120	8.619	8.031	6.087	7.474
C4B	4.571	4.329	4.789	6.366	4.826	5.080	5.311	4.947	4.135	3.747	4.911	3.528	3.528	5.286	3.674	4.195	5.541	3.650	4.729	4.814	4.995	5.396	4.365	4.704	5.565	4.777	3.371	3.831	5.214	4.523	4.413	5.189	6.244	4.450	5.032	5.323	5.262	3.977	3.856	6.281	3.201	4.438	4.826	4.777	5.129	4.947	4.438	4.413	5.638	3.577	5.250	3.916	5.505	5.505	6.026	4.147	3.953	4.523	4.838	4.680	5.238	4.292	4.583	6.935	4.135	3.613	4.668	5.141	4.195	4.498	3.092	3.359	5.371	4.656	6.353	4.353	3.177	4.753	5.480	4.292	4.632	4.547	3.577	4.995	5.214	4.898	4.474	4.438	4.983	3.613	4.704	4.692	4.971	3.201	4.486	3.868	4.510	6.911	4.729	4.935	6.632	5.189	4.413	4.620	4.717	4.195	5.323	5.359	4.717	4.571	3.395	4.838	3.492	6.523	7.699	5.420	4.413	2.583	3.286	5.286	4.668	3.637	4.401	3.868	4.135	4.971	5.359	4.207	4.510	4.292	4.341	3.419	3.043	4.389	3.249	3.371	2.134	3.747	3.977	4.329	4.001	4.680	3.237	2.983	4.219	4.462	3.346	5.941	4.268	3.698	4.668	2.352	4.207	4.765	3.286	4.341	4.001	3.577	3.043	4.377	3.359	3.807	3.043	5.080	4.025
CBWD3	12.197	12.671	11.816	12.728	10.417	11.830	12.904	12.798	11.894	14.120	10.671	11.837	12.678	13.279	12.579	11.526	12.289	14.106	12.113	14.014	11.908	13.484	13.498	12.346	12.749	13.152	12.226	11.420	13.512	11.215	12.657	10.848	13.314	12.735	11.915	12.141	9.745	11.300	12.346	13.406	13.498	12.784	12.720	13.081	12.438	12.388	11.971	12.289	11.413	13.519	11.936	10.749	11.816	13.434	11.024	12.247	11.569	12.254	12.212	12.374	10.890	11.830	14.551	14.417	11.526	15.328	12.897	12.791	12.183	12.918	11.717	14.212	13.342	13.074	12.487	19.476	14.318	14.508	13.526	14.424	11.251	12.275	12.120	13.576	12.388	17.158	10.339	12.466	13.773	14.466	14.289	13.194	13.201	12.862	12.311	13.971	14.169	12.975	12.692	11.357	9.554	10.869	13.293	13.413	16.233	11.773	15.413	12.756	11.682	12.162	12.042	11.215	14.197	11.830	11.010	10.819	11.335	12.473	12.289	12.021	11.696	13.010	13.109	12.558	10.120	12.925	10.325	12.070	10.855	12.162	11.434	10.904	12.247	14.417	11.964	10.551	11.229	13.689	12.438	13.031	12.410	12.622	12.508	11.752	12.325	11.342	13.060	11.046	12.487	13.109	12.791	12.014	11.130	13.003	12.685	11.272	12.346	11.653	11.498	12.325	11.773	11.554	11.837	10.311	11.887
CDC37P1	28.115	25.809	17.811	14.671	13.444	19.283	25.073	27.035	17.369	20.608	18.154	12.414	12.904	22.178	21.834	12.512	25.809	27.673	19.381	31.157	28.556	9.813	23.355	10.844	20.215	21.295	23.601	19.823	13.150	19.087	15.014	14.671	18.547	20.559	16.535	20.411	25.416	22.914	14.033	8.832	21.147	19.038	27.918	17.222	23.159	23.453	23.159	13.248	9.028	25.465	23.110	18.841	11.432	21.589	22.178	12.806	27.869	21.295	24.533	18.203	19.381	29.096	11.481	13.493	12.217	19.970	10.500	18.694	11.334	25.661	11.530	20.755	13.640	19.823	7.851	12.463	27.624	15.358	20.755	21.147	13.150	14.131	6.084	11.187	19.234	24.435	18.105	12.119	6.477	20.019	19.872	18.351	22.129	19.823	12.365	16.437	11.334	23.453	13.689	6.379	12.659	15.848	20.019	17.958	28.262	20.215	13.493	23.453	19.774	19.283	12.119	24.729	6.575	14.131	16.045	19.921	19.234	22.423	18.105	13.051	12.021	12.904	12.414	18.400	17.124	9.911	11.580	11.530	18.498	19.136	12.414	13.935	5.201	13.837	18.547	11.236	18.939	9.764	13.542	17.713	17.467	8.734	24.680	17.762	11.727	15.995	12.512	18.105	12.806	13.689	13.297	13.002	12.021	19.136	23.552	11.530	11.678	18.056	11.580	18.302	12.266	12.168	14.033	11.972	13.150
CFC1	4.271	4.172	4.190	4.282	4.207	4.120	3.941	3.998	4.022	4.393	4.109	4.479	4.103	3.819	4.016	4.080	3.680	4.068	4.045	3.877	4.346	4.091	4.364	4.317	3.975	3.819	3.767	3.616	4.503	4.056	3.900	4.196	4.445	3.732	3.523	4.213	3.854	3.703	3.709	4.207	4.004	3.888	3.952	4.022	4.161	4.555	4.143	3.894	4.126	4.190	3.703	4.167	3.859	4.317	3.378	3.801	3.599	4.155	3.732	3.958	4.827	4.277	4.288	4.062	3.645	3.680	4.149	3.546	3.894	3.871	4.126	4.010	3.987	4.213	3.888	4.248	4.167	3.784	4.207	3.796	3.460	3.738	4.085	4.120	4.294	4.352	3.842	3.865	4.103	4.045	4.381	4.207	4.207	3.657	4.393	3.697	3.645	4.462	3.790	4.734	4.642	4.178	3.726	4.074	4.375	3.929	4.630	4.705	3.958	3.888	4.155	4.300	3.865	4.068	3.952	3.761	3.842	4.068	3.830	3.993	3.912	3.929	4.120	3.917	3.912	4.462	3.807	3.680	4.039	3.975	3.616	4.149	3.512	3.825	3.871	3.830	3.790	4.404	3.697	3.778	3.906	4.167	4.230	3.854	3.715	3.628	4.271	3.871	3.767	3.819	4.190	3.691	3.744	4.224	3.749	3.807	4.022	3.674	3.819	3.836	3.917	3.952	4.080	4.132	3.871
CKMT1A	4.295	4.409	4.066	4.387	4.491	4.676	4.703	4.099	4.273	4.431	3.924	4.709	4.791	5.183	4.317	4.300	4.916	4.600	4.387	5.532	4.088	3.444	4.306	4.475	4.327	4.507	4.208	3.385	4.943	4.578	4.475	4.213	3.728	4.104	4.447	3.908	4.240	3.712	4.644	3.848	4.524	4.322	3.483	4.600	4.426	4.306	3.221	4.262	3.782	3.684	4.785	3.821	4.742	3.722	3.652	4.344	4.180	4.633	4.137	4.006	4.720	4.202	4.551	3.957	4.289	4.267	3.510	3.804	4.158	4.066	4.006	4.709	4.191	4.524	4.938	4.371	4.687	4.932	4.404	4.578	4.894	3.755	4.927	4.633	5.183	4.840	4.415	4.485	4.404	4.545	4.720	4.693	4.714	4.262	4.235	4.213	4.491	4.943	4.654	4.796	5.205	4.894	4.834	4.426	4.911	4.426	4.921	4.703	4.169	3.902	4.011	4.387	4.262	4.981	4.093	3.733	3.979	4.028	3.853	4.077	3.690	3.881	3.630	3.848	4.349	3.597	4.311	3.733	4.044	4.235	4.077	4.327	3.831	3.940	3.772	4.153	3.766	4.033	3.673	4.295	3.101	3.613	4.044	4.246	3.619	4.311	4.278	3.853	2.932	3.842	4.186	3.603	4.148	3.603	3.635	4.017	4.654	4.251	4.158	4.431	3.979	4.578	4.409	3.101	4.311
